timestep,demand_el,demand_th,demand_water,demand_f,wastewater,heat_demand_digester,electricity_demand_digester
1,4703.196,1809.237,50.3267,0,0.095,1376.509118,112.575
2,4703.196,1810.237,51.3267,0,0.095,1393.324743,112.575
3,4703.196,1811.237,52.3267,0.062188,0.095,1403.393032,112.575
4,4703.196,1812.237,53.3267,0.15426,0.095,1413.039613,112.575
5,4703.196,1813.237,54.3267,0.16016,0.095,1418.363683,112.575
6,4703.196,1814.237,55.3267,0.1036,0.095,1377.510676,112.575
7,4703.196,1815.237,56.3267,0.084862,0.095,1262.173413,112.575
8,4703.196,1816.237,57.3267,0.052101,0.095,1146.83615,112.575
9,4703.196,1817.237,58.3267,0.014673,0.095,1054.534711,112.575
10,4703.196,1818.237,59.3267,0,0.095,992.0164322,112.575
11,4703.196,1819.237,60.3267,0,0.095,956.8564896,112.575
12,4703.196,1820.237,61.3267,0,0.095,945.2067934,112.575
13,4703.196,1821.237,62.3267,0,0.095,961.9169911,112.575
14,4703.196,1822.237,63.3267,0,0.095,1038.088081,112.575
15,4703.196,1823.237,64.3267,0,0.095,1177.989862,112.575
16,4703.196,1824.237,65.3267,0,0.095,1232.548394,112.575
17,4703.196,1825.237,66.3267,0,0.095,1256.849343,112.575
18,4703.196,1826.237,67.3267,0,0.095,1260.170297,112.575
19,4703.196,1827.237,68.3267,0,0.095,1255.584218,112.575
20,4703.196,1828.237,69.3267,0,0.095,1266.812206,112.575
21,4703.196,1829.237,70.3267,0,0.095,1292.641849,112.575
22,4703.196,1830.237,71.3267,0,0.095,1324.322697,112.575
23,4703.196,1831.237,72.3267,0,0.095,1361.327614,112.575
24,4703.196,1832.237,73.3267,0,0.095,1390.741779,112.575
25,4703.196,1833.237,74.3267,0,0.095,1419.786949,112.575
26,4703.196,1834.237,75.3267,0.062188,0.095,1426.745138,112.575
27,4703.196,1835.237,76.3267,0.15426,0.095,1420.99936,112.575
28,4703.196,1836.237,77.3267,0.16016,0.095,1403.234892,112.575
29,4703.196,1837.237,78.3267,0.1036,0.095,1375.823842,112.575
30,4703.196,1838.237,79.3267,0.084862,0.095,1331.913449,112.575
31,4703.196,1839.237,80.3267,0,0.095,1259.748589,112.575
32,4703.196,1840.237,81.3267,0,0.095,1175.723179,112.575
33,4703.196,1841.237,82.3267,0.062188,0.095,1105.192439,112.575
34,4703.196,1842.237,83.3267,0.15426,0.095,1072.193753,112.575
35,4703.196,1843.237,84.3267,0.16016,0.095,1058.013806,112.575
36,4703.196,1844.237,85.3267,0.1036,0.095,1054.587425,112.575
37,4703.196,1845.237,86.3267,0.084862,0.095,1068.872799,112.575
38,4703.196,1846.237,87.3267,0.052101,0.095,1116.262286,112.575
39,4703.196,1847.237,88.3267,0.014673,0.095,1242.985678,112.575
40,4703.196,1848.237,89.3267,0,0.095,1279.252605,112.575
41,4703.196,1849.237,90.3267,0,0.095,1292.062,112.575
42,4703.196,1850.237,91.3267,0,0.095,1298.229486,112.575
43,4703.196,1851.237,92.3267,0,0.095,1309.299333,112.575
44,4703.196,1852.237,93.3267,0,0.095,1301.55044,112.575
45,4703.196,1853.237,94.3267,0,0.095,1297.544209,112.575
46,4703.196,1854.237,95.3267,0,0.095,1314.623402,112.575
47,4703.196,1855.237,96.3267,0,0.095,1331.544454,112.575
48,4703.196,1856.237,97.3267,0,0.095,1305.767524,112.575
49,4703.196,1857.237,98.3267,0,0.095,1305.39853,112.575
50,4703.196,1858.237,99.3267,0,0.095,1310.195463,112.575
51,4703.196,1859.237,100.3267,0,0.095,1286.527076,112.575
52,4703.196,1860.237,101.3267,0,0.095,1278.040193,112.575
53,4703.196,1861.237,102.3267,0,0.095,1275.878938,112.575
54,4703.196,1862.237,103.3267,0,0.095,1263.649392,112.575
55,4703.196,1863.237,104.3267,0,0.095,1235.711207,112.575
56,4703.196,1864.237,105.3267,0.062188,0.095,1190.11398,112.575
57,4703.196,1865.237,106.3267,0.15426,0.095,1153.794339,112.575
58,4703.196,1866.237,107.3267,0.16016,0.095,1142.408211,112.575
59,4703.196,1867.237,108.3267,0.1036,0.095,1133.49962,112.575
60,4703.196,1868.237,109.3267,0.084862,0.095,1129.862384,112.575
61,4703.196,1869.237,110.3267,0,0.095,1138.138413,112.575
62,4703.196,1870.237,111.3267,0,0.095,1164.284337,112.575
63,4703.196,1871.237,112.3267,0.062188,0.095,1206.138901,112.575
64,4703.196,1872.237,113.3267,0.15426,0.095,1226.064626,112.575
65,4703.196,1873.237,114.3267,0.16016,0.095,1236.923619,112.575
66,4703.196,1874.237,115.3267,0.1036,0.095,1263.596679,112.575
67,4703.196,1875.237,116.3267,0.084862,0.095,1292.589135,112.575
