0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
3 3
24 24
90 89
121 116
131 125
118 113
158 81
80 43
8 8
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
6 6
60 45
179 79
251 60
272 78
219 94
170 67
71 49
4 4
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
11 11
82 75
149 87
226 117
244 132
222 122
172 66
53 49
8 8
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
13 13
61 45
91 89
168 138
220 135
165 136
120 97
55 52
8 8
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
7 7
45 45
126 102
169 131
222 136
167 137
88 87
41 41
5 5
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
7 7
45 45
91 90
123 118
134 128
122 117
89 87
42 42
6 6
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
7 7
46 46
49 49
67 67
135 131
124 119
91 89
43 43
6 6
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
4 4
46 46
93 92
126 120
137 130
125 120
92 90
45 45
3 3
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
4 4
25 25
50 50
68 68
74 74
67 67
50 50
25 25
4 4
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
4 4
47 47
95 94
68 68
74 74
68 68
51 51
47 47
7 7
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
4 4
25 25
51 51
68 68
74 74
68 68
51 51
26 26
4 4
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
8 8
48 48
96 95
129 124
193 158
130 126
196 117
50 50
8 8
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
4 4
26 26
52 52
70 70
76 76
70 70
53 53
27 27
5 5
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
11 11
82 43
98 95
131 126
143 137
71 71
99 96
52 52
9 9
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
